Person_ID,Family_Line_ID,Generation,First_Name,Gender,Ethnicity,Mother_ID,Father_ID,Spouse_ID,Shared_Ancestry_Key,DOB,DOD,Longevity_Avg_Lifespan,Generation_Avg_Lifespan,Cause_of_Death,Eye_Color,Hair_Color,Skin_Tone,Blood_Group,Birthmark,Freckles,Baldness,Beard_Style_Trend,Condition_Diabetes,Condition_Heart_Issue,Condition_Asthma,Condition_Color_Blindness,Left_Handed,Is_Twin,Nature_of_Person,Recipes_Cuisine,Family_Traditions,Native_Location,Migration_Path,Socioeconomic_Status,Education_Level,Other_Disease,Passion,Disability,Email,Password
P0011,F01,2,Person_11,F,Mixed,P0002,P0001,N/A,IBGDAB,01-01-1938,31-12-2020,83,85.75,Old Age,Hazel,Blonde,Dark,AB,Yes,Yes,No,N/A,No,No,No,No,Yes,No,Introvert,Festive_F3,Festival_U2,Village_3,Village_3,High,High School,,,,person11.p0011@kulsetufamily.com,643ef4dca4340c6f77dc0c4ade6e237df83b5a57cd837a79ce5c0d84c4c45a4b
P0012,F01,2,Person_12,M,Mixed,P0002,P0001,P0014,IBDDCC,01-01-1950,N/A,77,85.75,N/A,Hazel,Black,Dark,A,No,No,No,Stubble,No,No,No,No,No,No,Introvert,Sweet_R3,Festival_U3,Village_3,Village_3,High,Bachelor's,,,,person12.p0012@kulsetufamily.com,0485a64ac4b76982953a4505760c815c9492dd9275689e213c88597792f98181
P0013,F01,2,Person_13,F,Mixed,P0002,P0001,N/A,IEDHCB,01-01-1942,N/A,93,85.75,N/A,Green,Brown,Dark,B,No,No,No,N/A,No,No,No,No,No,No,Extrovert,Festive_F3,Festival_U3,Village_3,Village_3,Medium,High School,,,,person13.p0013@kulsetufamily.com,f28faaf2ca7ce684836240665829c773950897a55a3e673a356fbd25bec94143
P0014,F01,2,Person_14,F,Mixed,P0002,P0001,P0012,IEDDCC,01-01-1947,N/A,90,85.75,N/A,Brown,Blonde,Dark,A,No,Yes,No,N/A,No,No,Yes,No,No,No,Extrovert,Sweet_R2,Festival_U3,Village_3,Village_3,Medium,High School,,,,person14.p0014@kulsetufamily.com,1d50b9e3f69bc9fb29f5aa659da0fabb0bbe184f44afdaca06f465127ee559d6
P0015,F02,2,Person_15,F,Mixed,P0003,P0004,N/A,EBGCBG,01-01-1944,01-01-2020,76,80.16666667,Accident,Blue,Brown,Light,B,Yes,No,No,N/A,No,No,Yes,No,Yes,No,Artistic,Sweet_R2,Ritual_S3,City_7,City_7,Medium,PhD,,,,person15.p0015@kulsetufamily.com,3ff6a078ffc6683fed7f66c2235b886f8bf5e9ec84a53111fc72f75f055e7343
P0016,F02,2,Person_16,F,Mixed,P0003,P0004,N/A,AFBHDI,01-01-1959,N/A,79,80.16666667,N/A,Green,Gray,Light,A,No,No,No,N/A,No,No,No,No,Yes,No,Artistic,Sweet_R2,Festival_U1,City_7,City_7,Medium,High School,,,,person16.p0016@kulsetufamily.com,686cac752e7465f29673b05fe6531584367f397d24523d2106f547064074e080
P0017,F02,2,Person_17,F,Mixed,P0003,P0004,P0019,ABGCBI,01-01-1963,N/A,88,80.16666667,N/A,Green,Black,Dark,B,No,Yes,No,N/A,No,No,No,No,Yes,No,Introvert,Sweet_R2,Festival_U1,City_7,City_7,Medium,PhD,,,,person17.p0017@kulsetufamily.com,66f2c32cb77750f0f64f27a2f09c1ae43cc6866660dae873d3d4f78f8537f09c
P0018,F02,2,Person_18,F,Mixed,P0004,P0003,N/A,ABGCDG,01-01-1963,N/A,79,80.16666667,N/A,Green,Blonde,Dark,B,No,No,No,N/A,No,No,No,No,No,No,Calm,Festive_F1,Festival_U3,City_7,City_7,High,Bachelor's,,,,person18.p0018@kulsetufamily.com,f9f7d50bc8f2a7e5465ef56f3e69109dc9e9cb070f07ac40cbfeff2b92d8f440
P0019,F02,2,Person_19,M,Mixed,P0004,P0003,P0017,EBGHDG,01-01-1954,N/A,78,80.16666667,N/A,Brown,Blonde,Dark,B,No,No,No,Stubble,No,No,No,No,Yes,No,Artistic,Festive_F1,Festival_U3,City_7,City_7,High,PhD,,,,person19.p0019@kulsetufamily.com,604fca6ef9f7df163f9fe27a61691009d0d21fd6c48d4f316ba2d0ee9dccf619
P0020,F02,2,Person_20,F,Mixed,P0004,P0003,N/A,EBGHBI,01-01-1955,N/A,81,80.16666667,N/A,Hazel,Red,Dark,B,No,No,No,N/A,No,No,No,No,No,No,Aggressive,Festive_F1,Festival_U3,City_7,City_7,High,PhD,,,,person20.p0020@kulsetufamily.com,0461f184ca9f7db9db1458223000160e82e7d2eaa8b7740e5b5485c7bc432999
P0021,F04,2,Person_21,M,Mixed,P0007,P0008,P0022,JDFIBG,01-01-1946,N/A,95,90.33333333,N/A,Brown,Black,Dark,A,No,No,No,Clean Shaven,No,No,No,No,No,No,Aggressive,Sweet_R2,Festival_U1,City_9,City_9,Medium,PhD,,,,person21.p0021@kulsetufamily.com,48c0d74cd76182d5598636e8dac347ede35b92e0077e566342fb5808fe401086
P0022,F04,2,Person_22,F,Mixed,P0007,P0008,P0021,GDCIJE,01-01-1950,N/A,82,90.33333333,N/A,Hazel,Gray,Medium,A,Yes,No,No,N/A,No,No,No,No,No,No,Calm,Sweet_R2,Festival_U1,City_9,City_9,High,Bachelor's,,,,person22.p0022@kulsetufamily.com,6be7e9f832c3583e944ff4a016521f8ef2baa9bf5d56c42207eb8b2e3c8e72d3
P0023,F04,2,Person_23,M,Mixed,P0007,P0008,N/A,GDFCJE,01-01-1943,N/A,94,90.33333333,N/A,Brown,Black,Medium,A,No,No,No,Stubble,No,No,No,No,No,No,Introvert,Sweet_R2,Festival_U1,City_9,City_9,Medium,PhD,,,,person23.p0023@kulsetufamily.com,73ec17087814942a16d5c06ab5bdd6a89d7598d0cab0bf4286c79ef18df1e7c5
P0024,F05,2,Person_24,F,Mixed,P0010,P0009,P0026,GDCEBG,01-01-1961,N/A,76,84.5,N/A,Blue,Brown,Dark,O,No,No,No,N/A,No,No,No,No,No,No,Spiritual,Festive_F3,Festival_U2,City_6,City_6,Low,PhD,,,,person24.p0024@kulsetufamily.com,700f26d45163a65345ae5f2a406c4bcc43c0556fc9c1aa1eba0233eff3abfcf9
P0025,F05,2,Person_25,M,Mixed,P0010,P0009,N/A,BFJAIF,01-01-1935,N/A,91,84.5,N/A,Blue,Gray,Medium,A,No,Yes,Yes,Moustache,No,No,No,No,No,No,Artistic,Festive_F3,Festival_U2,City_6,City_6,Medium,PhD,,,,person25.p0025@kulsetufamily.com,5bc7a0f4b3041f79b641a02d9248347cf1a35d781c1eaa58704fa6f45f7cc06d
P0026,F05,2,Person_26,M,Mixed,P0010,P0009,P0024,GDJAIF,01-01-1954,N/A,80,84.5,N/A,Blue,Red,Medium,A,No,No,Yes,Clean Shaven,No,No,No,No,No,No,Calm,Festive_F3,Festival_U2,City_6,City_6,Medium,High School,,,,person26.p0026@kulsetufamily.com,67ea06723094f93c25f0248e62ad13f07c80694860f6f8996730e28a5d47ab6b
P0027,F05,2,Person_27,M,Mixed,P0010,P0009,N/A,GFCEIG,01-01-1962,N/A,91,84.5,N/A,Blue,Gray,Medium,O,No,Yes,No,Stubble,No,No,No,No,Yes,No,Artistic,Festive_F3,Festival_U2,City_6,City_6,Medium,High School,,,,person27.p0027@kulsetufamily.com,e146a194ba5a3d0dac412cadbf9cc4cbb8219ca278bc99d2af942233e575eba4
P0028,F01,3,Person_28,M,Mixed,P0014,P0012,N/A,IEDDCC,01-01-1970,N/A,77,79,N/A,Brown,Black,Dark,O,No,No,No,Clean Shaven,No,No,No,No,No,No,Extrovert,Sweet_R2,Festival_U3,Village_3,Village_3,Medium,Bachelor's,,,,person28.p0028@kulsetufamily.com,ac16aab6c09a32b509ba3c4ab5011956bb1b25fd85fa98f263971c17fff4e045
P0029,F01,3,Person_29,M,Mixed,P0014,P0012,N/A,IEDDCC,01-01-1987,N/A,81,79,N/A,Hazel,Brown,Dark,A,No,No,Yes,Stubble,No,No,No,No,No,No,Introvert,Sweet_R2,Festival_U2,Village_3,Village_3,High,High School,,,,person29.p0029@kulsetufamily.com,869ab8fcafa65f31c6c7271d3483fafe95356b1b346acde65252baa880fbf81f
P0030,F02,3,Person_30,F,Mixed,P0017,P0019,N/A,ABGHDI,01-01-2011,N/A,75,70,N/A,Brown,Brown,Dark,B,No,Yes,No,N/A,No,No,No,No,Yes,No,Introvert,Sweet_R2,Festival_U1,City_7,City_7,Medium,High School,,,,person30.p0030@kulsetufamily.com,83d036da17afabe5352fda5f643a2c2dccc67db593d1fbff438da5ef88cb2ccf
P0031,F02,3,Person_31,M,Mixed,P0017,P0019,N/A,ABGHBI,01-01-1986,N/A,65,70,N/A,Blue,Black,Dark,O,No,Yes,No,Stubble,No,Yes,No,No,No,No,Introvert,Festive_F2,Festival_U1,City_7,City_7,Medium,High School,,,,person31.p0031@kulsetufamily.com,20020f0ca892c6b838996c3ea10fc7a7ce6d582f7e55493e5978123b6502100e
P0032,F04,3,Person_32,M,Mixed,P0022,P0021,N/A,JDCIBG,01-01-1993,N/A,94,85.33333333,N/A,Green,Gray,Medium,O,Yes,Yes,No,Hipster Beard,No,No,No,No,No,No,Calm,Sweet_R2,Festival_U1,City_9,City_9,High,Bachelor's,,,,person32.p0032@kulsetufamily.com,3928c900f08f998e9df109ceff94dbc865c35880ed0e22489116fee38971c42f
P0033,F04,3,Person_33,F,Mixed,P0022,P0021,P0034,JDCIJE,01-01-1987,N/A,89,85.33333333,N/A,Hazel,Red,Medium,A,Yes,No,No,N/A,No,No,No,No,No,No,Artistic,Sweet_R2,Festival_U1,City_9,City_9,Low,PhD,,,,person33.p0033@kulsetufamily.com,db2f0306e5f0a2b135cf346aac37b83f950bec32b3c8274a93b4e333aca06d65
P0034,F04,3,Person_34,M,Mixed,P0022,P0021,P0033,GDCIBE,01-01-1995,N/A,73,85.33333333,N/A,Brown,Gray,Dark,O,No,No,No,Designer Stubble,Yes,No,No,No,No,No,Calm,Sweet_R2,Festival_U1,City_9,City_9,High,PhD,,,,person34.p0034@kulsetufamily.com,6ba34d93ecbe0c5aeb4f87fd2c4ebcc2fd5a238fb62dff62d280ffefac56c3dd
P0035,F05,3,Person_35,F,Mixed,P0024,P0026,N/A,GDCEBF,01-01-2009,N/A,76,77,N/A,Blue,Red,Medium,O,No,No,No,N/A,No,No,No,No,No,No,Calm,Festive_F2,Festival_U1,City_6,City_6,Low,Bachelor's,,,,person35.p0035@kulsetufamily.com,985fb4e4ff6aab140d7f3f4e2b51b21f37ecc7b0b5861ccda79e0f078e2c4a1b
P0036,F05,3,Person_36,F,Mixed,P0024,P0026,N/A,GDJAIG,01-01-2002,N/A,78,77,N/A,Blue,Brown,Dark,A,Yes,No,No,N/A,No,No,No,No,No,No,Spiritual,Festive_F1,Festival_U2,City_6,City_6,High,PhD,,,,person36.p0036@kulsetufamily.com,f494650f9ec9175c972c114eb066671bd8570ecc022c0e44c1fb2e20ab0112fa
P0037,F04,4,Person_37,F,Mixed,P0033,P0034,N/A,JDCIJE,01-01-2016,N/A,70,77,N/A,Green,Black,Medium,O,No,No,No,N/A,Yes,No,No,No,No,No,Artistic,Sweet_R3,Festival_U1,City_9,City_9,Medium,High School,,,,person37.p0037@kulsetufamily.com,880a579d8a124cba87c5f780d4f7fabaf90fbc3cfbd60c20d511e14ae7093400
P0038,F04,4,Person_38,M,Mixed,P0033,P0034,N/A,GDCIJE,01-01-2021,N/A,84,77,N/A,Brown,Blonde,Dark,A,No,Yes,Yes,Designer Stubble,No,No,No,No,No,No,Artistic,Sweet_R2,Festival_U1,City_9,City_9,Low,Bachelor's,,,,person38.p0038@kulsetufamily.com,ca2abb9455574509e333bc880db6f8762a55eb5ad61dcdb97921cdcc35e34fcb
P0039,F01,1,Person_39,F,East Asian,N/A,N/A,N/A,DBGDGE,01-01-1908,01-01-2000,92,84.55913978,Old Age,Hazel,Blonde,Medium,B,Yes,No,No,N/A,No,No,No,No,No,No,Calm,Festive_F2,Ritual_S2,Village_9,,High,Bachelor's,,,,person39.p0039@kulsetufamily.com,10682acc03a21a0eec89142504de9dff57fdedd1a588eb9048542194383b3887
P0040,F02,1,Person_40,F,Mixed,N/A,N/A,N/A,EIAJFA,01-01-1909,01-01-1990,81,84.40932642,Accident,Blue,Red,Dark,O,No,No,No,N/A,No,No,No,No,No,No,Extrovert,Sweet_R2,Ritual_S2,Village_7,,High,PhD,,,,person40.p0040@kulsetufamily.com,53e0845398b2978a2fe259a70a0e677498a7b19cf322ee3dbac996fa162718d0
P0041,F05,1,Person_41,M,South Asian,N/A,N/A,N/A,FEGIJD,01-01-1910,01-01-1980,70,82.87634409,Accident,Blue,Gray,Medium,B,No,No,No,Full Beard,No,Yes,No,No,No,No,Artistic,Festive_F1,Festival_U1,City_9,,High,Bachelor's,,,,person41.p0041@kulsetufamily.com,ca1d954623de77aadbb35c422cd5c0d1d49eda09646b9f3fe3608a37e3dac72e
P0042,F02,1,Person_42,F,Western European,N/A,N/A,N/A,HGBEEB,01-01-1912,31-12-1997,86,84.40932642,Infection,Green,Brown,Dark,O,Yes,No,No,N/A,No,No,No,No,No,No,Introvert,Festive_F3,Ritual_S2,City_2,,High,PhD,,,,person42.p0042@kulsetufamily.com,76ccdb1f9d5982c54e4b7c27107cfacb97d788e906ae6842969e1e0138580c68
P0043,F02,1,Person_43,F,East Asian,N/A,N/A,N/A,IICHIG,01-01-1910,01-01-1999,89,84.40932642,Accident,Hazel,Black,Light,A,No,No,No,N/A,No,No,No,No,No,No,Introvert,Festive_F3,Festival_U2,Village_1,,High,PhD,,,,person43.p0043@kulsetufamily.com,11a9e26ae52eaf5eaa09adfb32a5ae2efe3ec5b0c17f0b238f2992b16527e784
P0044,F03,1,Person_44,F,South Asian,N/A,N/A,N/A,BBEHAJ,01-01-1905,01-01-1995,90,83.27751196,Old Age,Blue,Brown,Dark,AB,No,No,No,N/A,No,No,No,No,No,No,Artistic,Festive_F3,Festival_U2,City_8,,High,High School,,,,person44.p0044@kulsetufamily.com,822e498bb89567709191f2921b7b327b21cb2c35a369a645461f528735b0c3ec
P0045,F04,1,Person_45,M,South Asian,N/A,N/A,N/A,JEGBEF,01-01-1910,01-01-1978,68,82.9787234,Old Age,Blue,Blonde,Medium,A,No,No,No,Moustache,No,Yes,No,No,No,No,Spiritual,Festive_F2,Festival_U1,City_6,,Low,PhD,,,,person45.p0045@kulsetufamily.com,bd350b4ad045bf92e50167f5e1e4a9e38afb4051770ee03af7603ea6dd2c4c87
P0046,F02,1,Person_46,M,African,N/A,N/A,N/A,CEEGIC,01-01-1918,01-01-2000,82,84.40932642,Accident,Hazel,Blonde,Light,AB,No,Yes,No,Moustache,No,No,No,No,Yes,No,Spiritual,Sweet_R2,Festival_U2,Village_8,,Low,PhD,,,,person46.p0046@kulsetufamily.com,1b3ac0454a331aae7725d2c9e268e68e7b9ded0e81dd146ac7e4c32e7490e5fe
P0047,F01,1,Person_47,F,East Asian,N/A,N/A,N/A,DDJFEA,01-01-1904,01-01-1980,76,84.55913978,Accident,Hazel,Black,Light,AB,No,No,No,N/A,No,No,No,No,No,No,Artistic,Sweet_R3,Ritual_S1,City_1,,Low,PhD,,,,person47.p0047@kulsetufamily.com,7982c9e206f354bb7c18d43560a09a364841b8f7ffc73e31798a53c9d1099558
P0048,F02,1,Person_48,F,Western European,N/A,N/A,N/A,CEIGBA,01-01-1903,31-12-1993,91,84.40932642,Old Age,Blue,Brown,Dark,O,No,No,No,N/A,No,No,No,No,Yes,No,Aggressive,Festive_F1,Festival_U3,City_1,,Low,PhD,,,,person48.p0048@kulsetufamily.com,11190817265c9254fa063366be9ff73a81259d537c95738ddf3548510b40da8f
P0049,F05,1,Person_49,F,South Asian,N/A,N/A,N/A,IIHGBA,01-01-1915,31-12-1993,79,82.87634409,Accident,Hazel,Brown,Medium,AB,No,No,No,N/A,No,No,No,No,Yes,No,Artistic,Festive_F1,Festival_U2,City_8,,Medium,PhD,,,,person49.p0049@kulsetufamily.com,458e3df149a0d95497af443b5e6121ae3ddbcc813ebfa635b997c1b394b127e7
P0050,F05,1,Person_50,M,East Asian,N/A,N/A,N/A,FEIHCG,01-01-1903,01-01-1991,88,82.87634409,Infection,Green,Red,Dark,O,Yes,No,No,Full Beard,No,No,No,No,No,No,Calm,Festive_F1,Ritual_S1,City_3,,Low,PhD,,,,person50.p0050@kulsetufamily.com,5f2cf91d12dbf7eabdd76fcf58373787db19fa12d64577f593989047c6d4eabd
P0051,F02,1,Person_51,F,Mixed,N/A,N/A,N/A,ABEICE,01-01-1911,31-12-2005,95,84.40932642,Accident,Blue,Red,Dark,A,Yes,Yes,No,N/A,No,No,No,No,Yes,No,Extrovert,Festive_F3,Ritual_S3,City_4,,Medium,Bachelor's,,,,person51.p0051@kulsetufamily.com,38897195be36e9823d5c9495150957112e8f917c3228dd3aa2aea8a24ebc53ab
P0052,F03,1,Person_52,F,Mixed,N/A,N/A,N/A,GCJJDG,01-01-1915,01-01-2007,92,83.27751196,Old Age,Hazel,Gray,Medium,B,No,No,No,N/A,No,No,No,No,Yes,No,Calm,Festive_F3,Festival_U3,City_7,,Medium,High School,,,,person52.p0052@kulsetufamily.com,9a832bbccf17b0e8b57df67842f00a995f2446ff19fbf31fd7e7240fb77f9c10
P0053,F03,1,Person_53,F,East Asian,N/A,N/A,N/A,JEDBGB,01-01-1913,01-01-1992,79,83.27751196,Accident,Green,Brown,Medium,A,No,No,No,N/A,No,No,No,No,Yes,No,Spiritual,Sweet_R1,Ritual_S2,City_1,,Medium,Bachelor's,,,,person53.p0053@kulsetufamily.com,83e0c08f8810e4ad1a64549b5e47ea2658b34a2525b982f795dbaed8430f9917
P0054,F04,1,Person_54,M,South Asian,N/A,N/A,N/A,JDCJGE,01-01-1915,31-12-1997,83,82.9787234,Accident,Blue,Red,Dark,AB,Yes,No,No,Moustache,No,No,No,No,Yes,No,Spiritual,Festive_F3,Ritual_S1,City_6,,Low,Bachelor's,,,,person54.p0054@kulsetufamily.com,ddabecdae000eab6e5729ae1c19b9331a84015d7b7c2ffac59b0b8480effee1b
P0055,F03,1,Person_55,F,East Asian,N/A,N/A,N/A,BIEBAD,01-01-1912,31-12-1986,75,83.27751196,Accident,Green,Red,Dark,O,Yes,No,No,N/A,Yes,Yes,No,No,Yes,No,Aggressive,Festive_F3,Ritual_S3,Village_1,,High,Bachelor's,,,,person55.p0055@kulsetufamily.com,9fdaeac84bf52a0b31856b9e4ed0d2cf41322aa98ea3815905a94d9156762342
P0056,F02,1,Person_56,M,East Asian,N/A,N/A,N/A,HBCJEB,01-01-1902,01-01-1984,82,84.40932642,Infection,Green,Brown,Light,A,No,No,No,Moustache,No,No,No,No,Yes,No,Aggressive,Festive_F2,Ritual_S1,City_1,,Low,Bachelor's,,,,person56.p0056@kulsetufamily.com,2f00d2c4f0e88a9e7ea1a0ac2ad4bdb9b2a351b46720834bf5924c419d5178db
P0057,F05,1,Person_57,F,Western European,N/A,N/A,N/A,JCJEJI,01-01-1914,01-01-1992,78,82.87634409,Infection,Brown,Red,Medium,B,No,No,No,N/A,No,No,No,No,No,No,Calm,Festive_F1,Festival_U2,City_7,,Medium,PhD,,,,person57.p0057@kulsetufamily.com,a35a887f48ef050fd31c226eec4b549b5842d4ce0ab3aaddfa428f41960f6575
P0058,F03,1,Person_58,F,African,N/A,N/A,N/A,EHDJBJ,01-01-1907,31-12-1989,83,83.27751196,Infection,Brown,Black,Dark,AB,No,Yes,No,N/A,No,No,No,No,No,No,Introvert,Sweet_R2,Festival_U2,City_8,,Medium,High School,,,,person58.p0058@kulsetufamily.com,3ec24d6d15a255d7766dd2d240f98650750f2a3934565b3f61beba7804a7a3e7
P0059,F03,1,Person_59,F,East Asian,N/A,N/A,N/A,FCJEEH,01-01-1904,01-01-1980,76,83.27751196,Accident,Blue,Gray,Medium,B,No,Yes,No,N/A,No,No,No,No,No,No,Aggressive,Sweet_R1,Ritual_S2,Village_5,,High,PhD,,,,person59.p0059@kulsetufamily.com,4d6d00b11976da2b3bb1bc3c1c31e45151c170effeabc992f8b59004415ae73d
P0060,F02,1,Person_60,M,East Asian,N/A,N/A,N/A,JGGFHG,01-01-1912,31-12-2006,95,84.40932642,Old Age,Blue,Gray,Light,B,No,No,No,Moustache,No,No,No,No,Yes,No,Aggressive,Festive_F2,Ritual_S1,Village_8,,Low,High School,,,,person60.p0060@kulsetufamily.com,d6c5f0b8aeac660bf08759e033256b9753928568f87312cd60d328c87de10027
P0061,F01,1,Person_61,M,African,N/A,N/A,N/A,GCBHBJ,01-01-1911,31-12-1985,75,84.55913978,Old Age,Hazel,Black,Medium,B,No,No,No,Full Beard,No,No,No,No,No,No,Aggressive,Festive_F1,Festival_U2,City_9,,Medium,PhD,,,,person61.p0061@kulsetufamily.com,35f6c30b9df44f0e9c0177c29bf3e39fa246aa8b725347502fca67b3ad80aa16
P0062,F03,1,Person_62,F,East Asian,N/A,N/A,N/A,DIAIIA,01-01-1912,31-12-1980,69,83.27751196,Old Age,Brown,Gray,Medium,AB,No,No,No,N/A,No,Yes,No,No,No,No,Artistic,Sweet_R3,Ritual_S2,Village_9,,High,High School,,,,person62.p0062@kulsetufamily.com,2e1873ffd5e2481d6c224cb00d06ecadda3972226bf21e403e1812fa04be18f3
P0063,F03,1,Person_63,F,East Asian,N/A,N/A,N/A,IAAHJC,01-01-1912,31-12-1990,79,83.27751196,Old Age,Blue,Gray,Dark,A,No,No,No,N/A,Yes,No,No,No,No,No,Aggressive,Sweet_R3,Ritual_S1,Village_2,,Low,PhD,,,,person63.p0063@kulsetufamily.com,09c3d32cf95e3bdbb62a09411c95c26295f94520f3a4c6ee3cac4d5224472a53
P0064,F03,1,Person_64,M,African,N/A,N/A,N/A,EFAEJG,01-01-1902,01-01-1992,90,83.27751196,Infection,Brown,Blonde,Light,B,Yes,No,No,Moustache,No,No,No,No,No,No,Extrovert,Sweet_R1,Ritual_S1,City_6,,Medium,PhD,,,,person64.p0064@kulsetufamily.com,c45fadac266bb571419d9a4af16cfd1b8abe98929adce49957a865fd35cd750b
P0065,F03,1,Person_65,F,East Asian,N/A,N/A,N/A,HGEBAG,01-01-1907,01-01-1992,85,83.27751196,Infection,Hazel,Black,Medium,O,No,No,No,N/A,No,No,No,No,Yes,No,Introvert,Festive_F2,Ritual_S2,City_4,,Medium,Bachelor's,,,,person65.p0065@kulsetufamily.com,f9380e908a574a1e06d64316ef93fe2435d7ff914f0cbb9ffb573381e8ca2ee3
P0066,F02,1,Person_66,F,Mixed,N/A,N/A,N/A,DHADAD,01-01-1920,01-01-1996,76,84.40932642,Heart Failure,Brown,Blonde,Light,O,Yes,Yes,No,N/A,Yes,Yes,No,No,No,No,Aggressive,Festive_F1,Festival_U3,City_9,,Low,PhD,,,,person66.p0066@kulsetufamily.com,6e490bebb3085893cb3c6aca6a0d057da421616d9838a99d8ae0e7b81ed0a70e
